N_length,N_width,n_estimators,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_depth,max_features,max_leaf_nodes,accuracy,FPR,TPR,AUROCC
13,23,65,31,5,0.02,1,2,51,0.793256433,0.231884058,0.801410106,0.842286047
13,23,82,31,5,0.01,1,3,51,0.790594499,0.231884058,0.797884841,0.843341301
15,25,68,50,5,0.02,1,4,58,0.763975155,0.217391304,0.757931845,0.841619628
13,23,137,32,6,0.02,1,3,45,0.784383319,0.224637681,0.787309048,0.844286451
15,25,51,49,5,0.02,1,4,39,0.763087844,0.213768116,0.755581669,0.841596565
61,23,145,32,8,0.02,2,2,45,0.802129547,0.239130435,0.815511163,0.847087393
15,25,43,50,8,0.02,1,4,59,0.765749778,0.217391304,0.760282021,0.840722589
15,25,102,46,6,0.02,1,4,120,0.755102041,0.213768116,0.745005875,0.842343303
67,25,65,21,7,0.01,7,2,20,0.825199645,0.253623188,0.850763807,0.84501896
21,7,65,7,3,0,8,2,62,0.817213842,0.311594203,0.858989424,0.853035736
15,25,48,46,5,0.02,1,4,38,0.752440106,0.210144928,0.740305523,0.840109177
67,25,65,21,6,0.01,7,2,20,0.825199645,0.257246377,0.851938895,0.845040855
63,13,44,50,8,0.02,13,2,129,0.813664596,0.27173913,0.841363102,0.852469056
13,23,148,32,6,0,1,3,60,0.787932564,0.22826087,0.793184489,0.844220766
63,13,43,50,8,0.02,4,2,76,0.814551908,0.242753623,0.833137485,0.851341236
61,13,144,50,8,0.01,7,2,108,0.822537711,0.268115942,0.851938895,0.848544968
67,25,65,21,8,0.01,12,2,53,0.825199645,0.278985507,0.858989424,0.844066677
65,25,108,49,5,0.02,1,4,42,0.777284827,0.221014493,0.776733255,0.839182893
13,23,138,45,7,0.01,2,2,64,0.79769299,0.235507246,0.808460635,0.849304607
61,13,133,42,8,0.01,5,2,129,0.821650399,0.253623188,0.846063455,0.850957032
67,25,52,21,5,0.01,7,2,41,0.825199645,0.268115942,0.85546416,0.845097959
15,25,33,46,6,0.02,1,4,120,0.755102041,0.210144928,0.743830787,0.837052531
21,7,146,9,3,0,15,2,54,0.823425022,0.286231884,0.858989424,0.850583227
21,7,89,6,3,0,12,2,69,0.817213842,0.304347826,0.856639248,0.8530216
15,25,33,32,6,0.02,1,3,120,0.763087844,0.221014493,0.757931845,0.844266135
21,7,67,6,3,0,8,2,60,0.822537711,0.304347826,0.863689777,0.851746067
21,7,143,9,3,0,38,2,54,0.823425022,0.289855072,0.860164512,0.850370838
67,25,52,34,5,0.01,7,2,37,0.825199645,0.27173913,0.856639248,0.845009181
75,25,61,6,3,0,40,2,78,0.826974268,0.297101449,0.867215041,0.846106711
21,7,112,6,3,0,18,2,73,0.817213842,0.307971014,0.857814336,0.85335861
75,25,79,5,3,0,19,2,99,0.829636202,0.297101449,0.870740306,0.844180884
75,25,62,6,3,0,19,2,101,0.826974268,0.304347826,0.869565217,0.845055553
25,7,75,30,5,0,22,2,25,0.818988465,0.278985507,0.850763807,0.852221834
63,13,46,41,8,0.02,4,2,129,0.814551908,0.246376812,0.834312573,0.851230246
63,13,45,43,4,0.01,4,2,76,0.814551908,0.253623188,0.83666275,0.851036535
61,13,131,43,8,0.01,5,2,21,0.822537711,0.257246377,0.848413631,0.851041079
61,13,38,50,5,0,5,3,85,0.809228039,0.260869565,0.831962397,0.855201225
21,7,65,7,3,0,8,2,63,0.818988465,0.311594203,0.8613396,0.852544262
67,25,52,4,5,0.01,6,2,40,0.823425022,0.27173913,0.854289072,0.846375323
75,25,79,6,3,0,15,2,101,0.829636202,0.293478261,0.869565217,0.843606373
15,55,72,29,5,0.01,1,4,131,0.769299024,0.221014493,0.766157462,0.842274747
15,25,31,32,6,0.02,1,3,41,0.760425909,0.217391304,0.753231492,0.843530692
21,7,64,6,3,0,8,2,59,0.820763088,0.293478261,0.857814336,0.851231184
61,13,36,50,7,0.01,5,3,85,0.811889973,0.25,0.831962397,0.854163698
63,13,46,50,8,0.01,4,2,139,0.814551908,0.264492754,0.840188014,0.852422871
63,13,44,50,8,0.01,4,2,75,0.813664596,0.260869565,0.837837838,0.852115328
21,7,66,6,3,0,8,2,63,0.823425022,0.297101449,0.862514689,0.851146127
61,13,36,49,7,0.01,5,3,86,0.812777285,0.25,0.833137485,0.853964117
63,13,38,41,6,0.02,4,2,76,0.817213842,0.25,0.839012926,0.850013519
21,7,109,5,3,0,8,2,41,0.821650399,0.282608696,0.85546416,0.854086705
75,25,62,6,3,0,19,2,108,0.826974268,0.300724638,0.868390129,0.845070381
57,25,146,34,7,0.01,2,2,60,0.801242236,0.235507246,0.813160987,0.844304467
75,25,60,6,3,0,33,2,119,0.829636202,0.300724638,0.871915394,0.843661645
25,7,75,30,5,0,22,2,30,0.819875776,0.278985507,0.851938895,0.851578608
67,25,64,34,3,0.01,7,2,34,0.825199645,0.275362319,0.857814336,0.845664205
67,25,66,5,3,0,40,2,60,0.825199645,0.282608696,0.860164512,0.845278544
75,25,53,2,3,0,40,2,77,0.826974268,0.293478261,0.866039953,0.845040221
67,25,43,5,3,0,40,2,72,0.827861579,0.282608696,0.863689777,0.843229799
21,7,82,6,3,0,12,2,71,0.821650399,0.297101449,0.860164512,0.852448604
